number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
4013,SpeTool,W04013,,SpeTool W04013 1/4"" DOWN CUT,end,0.25,0,1.25,0,0,2,1.5,,0,,,,76.6667,230,18000,0.25,,0,40,230,18000
4014,SpeTool,W04014,,SpeTool W04014 1/2"" UP CUT,end,0.25,0,1.25,0,0,2,1.5,,0,,,,96.6667,290,18000,0.25,,0,40,290,18000
4015,SpeTool,W04015,,SpeTool W04015 1/4"" DOWN CUT,end,0.25,0,1,0,0,2,1.5,,0,,,,76.6667,230,18000,0.25,,0,40,230,18000
4016,SpeTool,W04016,,SpeTool W04016 1/4"" UP CUT,end,0.25,0,1,0,0,2,1.5,,0,,,,96.6667,290,18000,0.25,,0,40,290,18000
4017,SpeTool,W04017,,SpeTool W04017 1/8"" UP CUT,end,0.125,0,1,0,0,2,1.5,,0,,,,53.3333,160,18000,0.125,,0,40,160,18000
4018,SpeTool,W04018,,SpeTool W04018 1/8¡° DOWN CUT,end,0.125,0,1,0,0,2,1.5,,0,,,,43.3333,130,18000,0.125,,0,40,130,18000
4022,SpeTool,W04022,,SpeTool W04022 1/4"" UP CUT,end,0.25,0,2,0,0,2,1.5,,0,,,,96.6667,290,18000,0.25,,0,40,290,18000
4023,SpeTool,W04023,,SpeTool W04023 1/16"" UP CUT,end,0.0625,0,0.5,0,0,2,1.5,,0,,,,18,54,18000,0.06,,0,40,54,18000
4024,SpeTool,W04024,,SpeTool W04024 1/16"" DOWN CUT,end,0.0625,0,0.5,0,0,2,1.5,,0,,,,12,36,18000,0.06,,0,40,36,18000
4029,SpeTool,W04029,,SpeTool W04029 1/16"" UP CUT,end,0.0625,0,0.25,0,0,2,1.5,,0,,,,18,54,18000,0.06,,0,40,54,18000
4030,SpeTool,W04030,,SpeTool W04030 1/16"" DOWN CUT,end,0.0625,0,0.25,0,0,2,1.5,,0,,,,12,36,18000,0.06,,0,40,36,18000
4031,SpeTool,W04031,,SpeTool W04031 1/8"" UP CUT,end,0.125,0,0.75,0,0,2,1.5,,0,,,,53.3333,160,18000,0.125,,0,40,160,18000
4032,SpeTool,W04032,,SpeTool W04032 3/16"" UP CUT,end,0.1875,0,1,0,0,2,1.5,,0,,,,20,60,18000,0.1875,,0,20,60,18000
4033,SpeTool,W04033,,SpeTool W04033 3/8"" UP CUT,end,0.375,0,1.25,0,0,2,1.5,,0,,,,100,300,15000,0.375,,0,40,300,15000
4034,SpeTool,W04034,,SpeTool W04034 3/8"" DOWN CUT,end,0.375,0,1.25,0,0,2,1.5,,0,,,,80,240,15000,0.375,,0,40,240,15000
6001,SpeTool,W06001,,SpeTool W06001 0.5"",vee,0.5,0.25,0.433013,0,60,2,1.5,,0,,,,60,180,18000,0.5,,0,6.25,180,18000
6002,SpeTool,W06002,,SpeTool W06002 0.5"",vee,0.5,0.25,0.25,0,90,2,1.5,,0,,,,60,180,18000,0.5,,0,6.25,180,18000
6006,SpeTool,W06006,,SpeTool W06006 0.25"",vee,0.25,0.125,0.2165,0,60,4,1.5,,0,,,,120,360,18000,0.25,,0,10,360,18000
6007,SpeTool,W06007,,SpeTool W06007 0.25"",vee,0.25,0.125,0.125,0,90,4,1.5,,0,,,,120,360,18000,0.25,,0,10,360,18000
6008,SpeTool,W06008,,SpeTool W06008 0.25"",vee,0.25,0.125,0.69488,0,20,1,1.5,,0,,,,42,126,18000,0.005,,0,0.4,126,18000
6009,SpeTool,W06009,,SpeTool W06009 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,42,126,18000,0.005,,0,0.4,126,18000
6010,SpeTool,W06010,,SpeTool W06010 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,42,126,18000,0.015,,0,1.2,126,18000
6012,SpeTool,W06012,,SpeTool W06012 0.375"",vee,0.375,0.1875,0.32475,0,60,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6013,SpeTool,W06013,,SpeTool W06013 0.375"",vee,0.375,0.1875,0.32475,0,90,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6014,SpeTool,W06014,,SpeTool W06014 0.5"",vee,0.5,0.25,0.6,0,45,2,1.5,,0,,,,60,180,18000,0.5,,0,6.25,180,18000
6016,SpeTool,W06016,,SpeTool W06016 0.685"",vee,0.685,0.3425,0.32813,0,90,1,1.5,,0,,,,20,40,15000,0.25,,0,6.2,40,18000
