number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
4029,SpeTool,W04029,,SpeTool W04029 1/16"" UP CUT,end,0.0625,0,0.25,0,0,2,1.5,,0,,,,18,54,18000,0.06,,0,40,54,18000
4030,SpeTool,W04030,,SpeTool W04030 1/16"" DOWN CUT,end,0.0625,0,0.25,0,0,2,1.5,,0,,,,12,36,18000,0.06,,0,40,36,18000
4031,SpeTool,W04031,,SpeTool W04031 1/8"" UP CUT,end,0.125,0,0.75,0,0,2,1.5,,0,,,,41.7,125,18000,0.125,,0,40,125,18000
4032,SpeTool,W04032,,SpeTool W04032 3/16"" UP CUT,end,0.1875,0,1,0,0,2,1.5,,0,,,,20,60,18000,0.1875,,0,20,60,18000
4033,SpeTool,W04033,,SpeTool W04033 3/8"" UP CUT,end,0.375,0,1.25,0,0,2,1.5,,0,,,,70,210,15000,0.375,,0,40,210,15000
4034,SpeTool,W04034,,SpeTool W04034 3/8"" DOWN CUT,end,0.375,0,1.25,0,0,2,1.5,,0,,,,60,180,15000,0.375,,0,40,180,15000
6001,SpeTool,W06001,,SpeTool W06001 0.5"",vee,0.5,0.25,0.433013,0,60,2,1.5,,0,,,,24,72,18000,0.5,,0,6.3,72,18000
6002,SpeTool,W06002,,SpeTool W06002 0.5"",vee,0.5,0.25,0.25,0,90,2,1.5,,0,,,,24,72,18000,0.5,,0,6.3,72,18000
6006,SpeTool,W06006,,SpeTool W06006 0.25"",vee,0.25,0.125,0.2165,0,60,4,1.5,,0,,,,48,144,18000,0.25,,0,10,144,18000
6007,SpeTool,W06007,,SpeTool W06007 0.25"",vee,0.25,0.125,0.125,0,90,4,1.5,,0,,,,48,144,18000,0.25,,0,10,144,18000
6008,SpeTool,W06008,,SpeTool W06008 0.25"",vee,0.25,0.125,0.69488,0,20,1,1.5,,0,,,,18,54,18000,0.005,,0,0.4,54,18000
6009,SpeTool,W06009,,SpeTool W06009 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,18,54,18000,0.005,,0,0.4,54,18000
6010,SpeTool,W06010,,SpeTool W06010 0.25"",vee,0.25,0.125,0.457087,0,30,1,1.5,,0,,,,18,54,18000,0.015,,0,1.2,54,18000
6012,SpeTool,W06012,,SpeTool W06012 0.375"",vee,0.375,0.1875,0.32475,0,60,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6013,SpeTool,W06013,,SpeTool W06013 0.375"",vee,0.375,0.1875,0.32475,0,90,3,1.5,,0,,,,24,85,14000,0.08,,0,2,85,14000
6014,SpeTool,W06014,,SpeTool W06014 0.5"",vee,0.5,0.25,0.6,0,45,2,1.5,,0,,,,24,72,18000,0.5,,0,6.3,72,18000
6016,SpeTool,W06016,,SpeTool W06016 0.685"",vee,0.685,0.3425,0.32813,0,90,1,1.5,,0,,,,20,40,15000,0.25,,0,6.2,40,18000
6018,SpeTool,W06018,,SpeTool W06018 0.8125"",vee,0.8125,0.40625,0.98438,0,45,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
6019,SpeTool,W06019,,SpeTool W06019 1.0625"",vee,1.0625,0.53125,0.92188,0,60,1,1.5,,0,,,,15,30,15000,0.25,,0,3,30,15000
5001,SpeTool,W05001,,SpeTool W05001 1"",end,1,0,0.3937,0,0,2,1,,0,,,,33.3,100,18000,0.0787,,0,80,100,18000
5002,SpeTool,W05002,,SpeTool W05002 2"",end,2,0,0.47244,0,0,3,2.75,,0,,,,33.3,100,18000,0.0787,,0,80,100,18000
5003,SpeTool,W05003,,SpeTool W05003 2.5"",end,2.5,0,0.47244,0,0,4,1.83465,,0,,,,50,150,18000,0.0787,,0,80,150,18000
5004,SpeTool,W05004,,SpeTool W05004 1.25"",end,1.25,0,0.3937,0,0,2,1,,0,,,,33.3,100,18000,0.0787,,0,80,100,18000
5010,SpeTool,W05010,,SpeTool W05010 3"",end,3,0,0.47244,0,0,2,1.25,,0,,,,46.7,140,18000,0.0787,,0,80,140,18000
5011,SpeTool,W05011,,SpeTool W05011 1"",end,1,0,0.47244,0,0,2,1.25,,0,,,,40,80,18000,0.25,,0,80,80,18000
5012,SpeTool,W05012,,SpeTool W05012 1.5"",end,1.5,0,0.47244,0,0,2,1,,0,,,,40,80,18000,0.25,,0,80,80,18000
